[rosmaster.main][INFO] 2024-10-29 15:30:53,284: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-29 15:30:53,284: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-29 15:30:53,285: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-10-29 15:30:53,286: Started XML-RPC server [http://DESKTOP-R7B102G:11311/]
[xmlrpc][INFO] 2024-10-29 15:30:53,286: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-29 15:30:53,286: Master initialized: port[11311], uri[http://DESKTOP-R7B102G:11311/]
[rosmaster.master][INFO] 2024-10-29 15:30:53,312: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,315: +PARAM [/roslaunch/uris/host_desktop_r7b102g__40327] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,386: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,386: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,387: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,387: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 15:30:53,510: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-R7B102G:35345/
[rosmaster.master][INFO] 2024-10-29 15:30:53,511: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-R7B102G:35345/
[rosmaster.master][INFO] 2024-10-29 15:30:53,521: +SUB [/clock] /rosout http://DESKTOP-R7B102G:35345/
[rosmaster.master][INFO] 2024-10-29 15:30:53,523: +PUB [/rosout_agg] /rosout http://DESKTOP-R7B102G:35345/
[rosmaster.master][INFO] 2024-10-29 15:30:53,527: +SUB [/rosout] /rosout http://DESKTOP-R7B102G:35345/
[rosmaster.master][INFO] 2024-10-29 15:30:55,058: +PUB [/rosout] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:30:55,059: +SERVICE [/gazebo/get_loggers] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:30:55,061: +SERVICE [/gazebo/set_logger_level] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:30:55,067: +SUB [/clock] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:30:55,075: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:30:55,094: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/']
[rosmaster.master][INFO] 2024-10-29 15:30:55,103: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 15:30:55,338: +PUB [/rosout] /gazebo_gui http://DESKTOP-R7B102G:36163/
[rosmaster.master][INFO] 2024-10-29 15:30:55,339: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://DESKTOP-R7B102G:36163/
[rosmaster.master][INFO] 2024-10-29 15:30:55,339: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://DESKTOP-R7B102G:36163/
[rosmaster.master][INFO] 2024-10-29 15:30:55,343: +SUB [/clock] /gazebo_gui http://DESKTOP-R7B102G:36163/
[rosmaster.master][INFO] 2024-10-29 15:30:55,348: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo_gui
[rosmaster.master][INFO] 2024-10-29 15:30:55,395: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/', 'http://DESKTOP-R7B102G:36163/']
[rosmaster.master][INFO] 2024-10-29 15:30:55,412: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/', 'http://DESKTOP-R7B102G:36163/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 15:33:03,499: +PUB [/clock] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,502: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,504: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,505: +SERVICE [/gazebo/delete_model] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,506: +SERVICE [/gazebo/delete_light] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,506: +SERVICE [/gazebo/get_model_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,507: +SERVICE [/gazebo/get_model_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,508: +SERVICE [/gazebo/get_world_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,509: +SERVICE [/gazebo/get_joint_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,509: +SERVICE [/gazebo/get_link_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,510: +SERVICE [/gazebo/get_link_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,511: +SERVICE [/gazebo/get_light_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,511: +SERVICE [/gazebo/set_light_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,512: +SERVICE [/gazebo/get_physics_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,512: +PUB [/gazebo/link_states] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,514: +PUB [/gazebo/model_states] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,514: +PUB [/gazebo/performance_metrics] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,515: +SERVICE [/gazebo/set_link_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,516: +SERVICE [/gazebo/set_physics_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,518: +SERVICE [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,520: +SERVICE [/gazebo/set_model_configuration] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,522: +SERVICE [/gazebo/set_joint_properties] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,523: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-10-29 15:33:03,526: +SERVICE [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,527: +SERVICE [/gazebo/set_parameters] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,530: +SUB [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,531: +PUB [/gazebo/parameter_descriptions] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,536: +SUB [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,539: +PUB [/gazebo/parameter_updates] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,540: +SERVICE [/gazebo/pause_physics] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,541: +SERVICE [/gazebo/unpause_physics] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,543: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,544: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,547: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,548: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,549: +SERVICE [/gazebo/reset_simulation] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,550: +SERVICE [/gazebo/reset_world] /gazebo http://DESKTOP-R7B102G:39929/
[rosmaster.master][INFO] 2024-10-29 15:33:03,563: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,564: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,565: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,566: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,568: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,570: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,572: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,573: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,574: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,575: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,576: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,578: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,579: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,580: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,580: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,585: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,586: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,587: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/']
[rosmaster.master][INFO] 2024-10-29 15:33:03,587: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:39929/ ['http://DESKTOP-R7B102G:39929/']
[rosmaster.master][INFO] 2024-10-29 15:33:03,589: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,591: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,592: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:35345/ ['http://DESKTOP-R7B102G:39929/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 15:33:03,595: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,595: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:36163/ ['http://DESKTOP-R7B102G:39929/']
[rosmaster.master][INFO] 2024-10-29 15:33:03,596: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:39929/ ['http://DESKTOP-R7B102G:39929/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 15:33:03,597: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,599: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,600: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:36163/ ['http://DESKTOP-R7B102G:39929/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 15:33:03,601: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,602: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-10-29 15:33:03,602: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
