[rosmaster.main][INFO] 2024-10-29 16:14:06,802: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-29 16:14:06,803: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-29 16:14:06,804: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-10-29 16:14:06,805: Started XML-RPC server [http://DESKTOP-R7B102G:11311/]
[rosmaster.master][INFO] 2024-10-29 16:14:06,805: Master initialized: port[11311], uri[http://DESKTOP-R7B102G:11311/]
[xmlrpc][INFO] 2024-10-29 16:14:06,805: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-29 16:14:06,874: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:06,879: +PARAM [/roslaunch/uris/host_desktop_r7b102g__42243] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:06,965: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:06,965: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:06,965: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:06,965: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:14:07,143: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-R7B102G:37891/
[rosmaster.master][INFO] 2024-10-29 16:14:07,144: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-R7B102G:37891/
[rosmaster.master][INFO] 2024-10-29 16:14:07,156: +SUB [/clock] /rosout http://DESKTOP-R7B102G:37891/
[rosmaster.master][INFO] 2024-10-29 16:14:07,158: +PUB [/rosout_agg] /rosout http://DESKTOP-R7B102G:37891/
[rosmaster.master][INFO] 2024-10-29 16:14:07,166: +SUB [/rosout] /rosout http://DESKTOP-R7B102G:37891/
[rosmaster.master][INFO] 2024-10-29 16:14:08,767: +PUB [/rosout] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:08,768: +SERVICE [/gazebo/get_loggers] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:08,769: +SERVICE [/gazebo/set_logger_level] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:08,776: +SUB [/clock] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:08,788: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:14:08,818: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/']
[rosmaster.master][INFO] 2024-10-29 16:14:08,837: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:14:09,191: +PUB [/rosout] /gazebo_gui http://DESKTOP-R7B102G:44057/
[rosmaster.master][INFO] 2024-10-29 16:14:09,192: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://DESKTOP-R7B102G:44057/
[rosmaster.master][INFO] 2024-10-29 16:14:09,194: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://DESKTOP-R7B102G:44057/
[rosmaster.master][INFO] 2024-10-29 16:14:09,200: +SUB [/clock] /gazebo_gui http://DESKTOP-R7B102G:44057/
[rosmaster.master][INFO] 2024-10-29 16:14:09,205: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo_gui
[rosmaster.master][INFO] 2024-10-29 16:14:09,224: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/', 'http://DESKTOP-R7B102G:44057/']
[rosmaster.master][INFO] 2024-10-29 16:14:09,226: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/', 'http://DESKTOP-R7B102G:44057/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:14:10,225: +PUB [/clock] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,226: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,227: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,228: +SERVICE [/gazebo/delete_model] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,229: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/']
[rosmaster.master][INFO] 2024-10-29 16:14:10,229: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:34431/ ['http://DESKTOP-R7B102G:34431/']
[rosmaster.master][INFO] 2024-10-29 16:14:10,230: +SERVICE [/gazebo/delete_light] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,232: +SERVICE [/gazebo/get_model_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,233: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:37891/ ['http://DESKTOP-R7B102G:34431/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:14:10,234: +SERVICE [/gazebo/get_model_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,234: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:44057/ ['http://DESKTOP-R7B102G:34431/']
[rosmaster.master][INFO] 2024-10-29 16:14:10,234: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:34431/ ['http://DESKTOP-R7B102G:34431/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:14:10,235: +SERVICE [/gazebo/get_world_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,237: +SERVICE [/gazebo/get_joint_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,239: +SERVICE [/gazebo/get_link_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,240: +SERVICE [/gazebo/get_link_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,241: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:44057/ ['http://DESKTOP-R7B102G:34431/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:14:10,242: +SERVICE [/gazebo/get_light_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,242: +SERVICE [/gazebo/set_light_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,243: +SERVICE [/gazebo/get_physics_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,244: +PUB [/gazebo/link_states] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,244: +PUB [/gazebo/model_states] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,245: +PUB [/gazebo/performance_metrics] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,246: +SERVICE [/gazebo/set_link_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,246: +SERVICE [/gazebo/set_physics_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,247: +SERVICE [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,248: +SERVICE [/gazebo/set_model_configuration] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,249: +SERVICE [/gazebo/set_joint_properties] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,250: +SERVICE [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,256: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-10-29 16:14:10,257: +SERVICE [/gazebo/set_parameters] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,259: +SUB [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,260: +PUB [/gazebo/parameter_descriptions] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,263: +SUB [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,264: +PUB [/gazebo/parameter_updates] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,264: +SERVICE [/gazebo/pause_physics] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,265: +SERVICE [/gazebo/unpause_physics] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,267: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://DESKTOP-R7B102G:34431/
[rosmaster.master][INFO] 2024-10-29 16:14:10,268: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://DESKTOP-R7B102G:34431/
