[rosmaster.main][INFO] 2024-10-29 16:43:48,518: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-29 16:43:48,518: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-29 16:43:48,519: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-10-29 16:43:48,520: Started XML-RPC server [http://DESKTOP-R7B102G:11311/]
[rosmaster.master][INFO] 2024-10-29 16:43:48,520: Master initialized: port[11311], uri[http://DESKTOP-R7B102G:11311/]
[xmlrpc][INFO] 2024-10-29 16:43:48,521: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-29 16:43:48,581: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,584: +PARAM [/roslaunch/uris/host_desktop_r7b102g__36339] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,700: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,701: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,701: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,701: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:43:48,879: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-R7B102G:32785/
[rosmaster.master][INFO] 2024-10-29 16:43:48,880: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-R7B102G:32785/
[rosmaster.master][INFO] 2024-10-29 16:43:48,887: +SUB [/clock] /rosout http://DESKTOP-R7B102G:32785/
[rosmaster.master][INFO] 2024-10-29 16:43:48,889: +PUB [/rosout_agg] /rosout http://DESKTOP-R7B102G:32785/
[rosmaster.master][INFO] 2024-10-29 16:43:48,894: +SUB [/rosout] /rosout http://DESKTOP-R7B102G:32785/
[rosmaster.master][INFO] 2024-10-29 16:43:50,973: +PUB [/rosout] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:50,974: +SERVICE [/gazebo/get_loggers] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:50,976: +SERVICE [/gazebo/set_logger_level] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:50,981: +SUB [/clock] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:50,992: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:51,047: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/']
[rosmaster.master][INFO] 2024-10-29 16:43:51,058: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:43:51,289: +PUB [/rosout] /gazebo_gui http://DESKTOP-R7B102G:46485/
[rosmaster.master][INFO] 2024-10-29 16:43:51,290: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://DESKTOP-R7B102G:46485/
[rosmaster.master][INFO] 2024-10-29 16:43:51,291: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://DESKTOP-R7B102G:46485/
[rosmaster.master][INFO] 2024-10-29 16:43:51,298: +SUB [/clock] /gazebo_gui http://DESKTOP-R7B102G:46485/
[rosmaster.master][INFO] 2024-10-29 16:43:51,304: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo_gui
[rosmaster.master][INFO] 2024-10-29 16:43:51,355: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/', 'http://DESKTOP-R7B102G:46485/']
[rosmaster.master][INFO] 2024-10-29 16:43:51,358: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/', 'http://DESKTOP-R7B102G:46485/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:43:52,803: +PUB [/clock] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,805: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,806: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,807: +SERVICE [/gazebo/delete_model] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,808: +SERVICE [/gazebo/delete_light] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,809: +SERVICE [/gazebo/get_model_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,810: +SERVICE [/gazebo/get_model_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,810: +SERVICE [/gazebo/get_world_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,811: +SERVICE [/gazebo/get_joint_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,812: +SERVICE [/gazebo/get_link_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,814: +SERVICE [/gazebo/get_link_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,815: +SERVICE [/gazebo/get_light_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,816: +SERVICE [/gazebo/set_light_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,817: +SERVICE [/gazebo/get_physics_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,817: +PUB [/gazebo/link_states] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,818: +PUB [/gazebo/model_states] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,819: +PUB [/gazebo/performance_metrics] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,820: +SERVICE [/gazebo/set_link_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,821: +SERVICE [/gazebo/set_physics_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,822: +SERVICE [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,822: +SERVICE [/gazebo/set_model_configuration] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,823: +SERVICE [/gazebo/set_joint_properties] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,825: +SERVICE [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,828: +SUB [/gazebo/set_link_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,837: +SUB [/gazebo/set_model_state] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,839: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-10-29 16:43:52,839: +SERVICE [/gazebo/pause_physics] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,841: +SERVICE [/gazebo/set_parameters] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,842: +SERVICE [/gazebo/unpause_physics] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,842: +PUB [/gazebo/parameter_descriptions] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,843: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,844: +PUB [/gazebo/parameter_updates] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,844: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,846: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,849: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,852: +SERVICE [/gazebo/reset_simulation] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,855: +SERVICE [/gazebo/reset_world] /gazebo http://DESKTOP-R7B102G:45857/
[rosmaster.master][INFO] 2024-10-29 16:43:52,863: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/']
[rosmaster.master][INFO] 2024-10-29 16:43:52,865: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,867: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:45857/ ['http://DESKTOP-R7B102G:45857/']
[rosmaster.master][INFO] 2024-10-29 16:43:52,870: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:46485/ ['http://DESKTOP-R7B102G:45857/']
[rosmaster.master][INFO] 2024-10-29 16:43:52,874: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,877: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:45857/ ['http://DESKTOP-R7B102G:45857/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:43:52,878: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:32785/ ['http://DESKTOP-R7B102G:45857/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:43:52,879: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,880: publisherUpdate[/clock] -> http://DESKTOP-R7B102G:46485/ ['http://DESKTOP-R7B102G:45857/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:43:52,881: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,882: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,883: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,888: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,890: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,891: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,892: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,894: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,896: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,898: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,899: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,901: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,917: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,919: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,926: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,927: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,929: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,931: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,933: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,936: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,937: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,939: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,940: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,942: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:43:52,944: +PARAM [/gazebo/contact_surface_layer] by /gazebo
