[rosmaster.main][INFO] 2024-10-29 16:51:48,401: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-10-29 16:51:48,401: Starting ROS Master Node
[xmlrpc][INFO] 2024-10-29 16:51:48,405: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-10-29 16:51:48,405: Started XML-RPC server [http://DESKTOP-R7B102G:11311/]
[rosmaster.master][INFO] 2024-10-29 16:51:48,405: Master initialized: port[11311], uri[http://DESKTOP-R7B102G:11311/]
[xmlrpc][INFO] 2024-10-29 16:51:48,405: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-10-29 16:51:48,481: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,500: +PARAM [/roslaunch/uris/host_desktop_r7b102g__43843] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,586: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,586: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,587: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,587: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-10-29 16:51:48,688: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-R7B102G:46219/
[rosmaster.master][INFO] 2024-10-29 16:51:48,689: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-R7B102G:46219/
[rosmaster.master][INFO] 2024-10-29 16:51:48,696: +SUB [/clock] /rosout http://DESKTOP-R7B102G:46219/
[rosmaster.master][INFO] 2024-10-29 16:51:48,698: +PUB [/rosout_agg] /rosout http://DESKTOP-R7B102G:46219/
[rosmaster.master][INFO] 2024-10-29 16:51:48,705: +SUB [/rosout] /rosout http://DESKTOP-R7B102G:46219/
[rosmaster.master][INFO] 2024-10-29 16:51:50,178: +PUB [/rosout] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:50,179: +SERVICE [/gazebo/get_loggers] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:50,180: +SERVICE [/gazebo/set_logger_level] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:50,189: +SUB [/clock] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:50,196: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2024-10-29 16:51:50,210: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:46219/ ['http://DESKTOP-R7B102G:43285/']
[rosmaster.master][INFO] 2024-10-29 16:51:50,221: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:46219/ ['http://DESKTOP-R7B102G:43285/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:51:50,556: +PUB [/rosout] /gazebo_gui http://DESKTOP-R7B102G:43991/
[rosmaster.master][INFO] 2024-10-29 16:51:50,558: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://DESKTOP-R7B102G:43991/
[rosmaster.master][INFO] 2024-10-29 16:51:50,559: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://DESKTOP-R7B102G:43991/
[rosmaster.master][INFO] 2024-10-29 16:51:50,567: +SUB [/clock] /gazebo_gui http://DESKTOP-R7B102G:43991/
[rosmaster.master][INFO] 2024-10-29 16:51:50,573: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo_gui
[rosmaster.master][INFO] 2024-10-29 16:51:50,612: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:46219/ ['http://DESKTOP-R7B102G:43285/', 'http://DESKTOP-R7B102G:43991/']
[rosmaster.master][INFO] 2024-10-29 16:51:50,624: publisherUpdate[/rosout] -> http://DESKTOP-R7B102G:46219/ ['http://DESKTOP-R7B102G:43285/', 'http://DESKTOP-R7B102G:43991/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-10-29 16:51:51,702: +PUB [/clock] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,705: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,706: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,707: +SERVICE [/gazebo/delete_model] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,707: +SERVICE [/gazebo/delete_light] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,708: +SERVICE [/gazebo/get_model_properties] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,709: +SERVICE [/gazebo/get_model_state] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,710: +SERVICE [/gazebo/get_world_properties] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,710: +SERVICE [/gazebo/get_joint_properties] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,711: +SERVICE [/gazebo/get_link_properties] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,712: +SERVICE [/gazebo/get_link_state] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,712: +SERVICE [/gazebo/get_light_properties] /gazebo http://DESKTOP-R7B102G:43285/
[rosmaster.master][INFO] 2024-10-29 16:51:51,713: +SERVICE [/gazebo/set_light_properties] /gazebo http://DESKTOP-R7B102G:43285/
